id,source,website,building_type,building,address,vacancy_rate,household_size,Pct_Single_Family,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,Pct_Military,percent_of_building_type,lot_size_square_feet,floors,total_far,residential_efficiency,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,average_parking_space_square_feet,surface_parking_spaces,above_ground_structured_parking_spaces,below_ground_structured_parking_spaces,building_footprint_square_feet,surface_parking_square_feet,hardscape_other_square_feet,irrigated_softscape_square_feet,nonirrigated_softscape_square_feet,irrigated_percent,id
61,0,,High-Rise Residential,High-Rise Residential (Pine & Franklin),"San Francisco, CA",0.06,1.64,0,0,0,0.99,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,24,12,0.85,1240,0.85,450,0.85,300,0.85,1000,330,0,389,0,21780,0,20473.2,1176.12,130.68,0.9,961
62,0,,Urban Mid-Rise Residential,Mid-Rise Residential (Langstaff E-09),,0.06,1.69,0,0,0,0.96,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.3,43560,10,4,0.85,910,0.85,450,0.85,350,0.85,1000,330,0,110,0,17424,0,2178,23958,0,1,1062
63,0,,Urban Mid-Rise Residential,Mid-Rise Residential (Eddy/Taylor Family Housing),"San Francisco, CA",0.06,2.25,0,0,0,0.92,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.03,43560,14,8,0.85,920,0.85,500,0.85,300,0.85,1000,330,0,150,0,24891.43,0,14312.57,3920.401286,435.6001429,0.9,1063
64,0,,Urban Mid-Rise Residential,Mid-Rise Residential (Cubix Yerba Buena),"San Francisco, CA",0.06,2.25,0,0,0,0.91,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.01,43560,8,6.5,0.8,332,0.85,500,0.85,300,0.85,1000,330,5,0,0,35392.5,1650,5360.7,1156.8,0,1,1064
65,0,,Urban Mid-Rise Residential,Mid-Rise Residential (AC Res Type 2/MU),,0.06,2.25,0,0,0,0.94,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.01,43560,17,8,0.85,1184,0.85,538,0.85,350,0.85,1000,330,0,65,0,20498.82,0,14349.18,8711.996471,0,1,1065
66,0,,Urban Mid-Rise Residential,Mid-Rise Residential (CapMetro Apt/Condo Hi),,0.06,1.64,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.65,43560,8,5,0.85,1000,0.85,450,0.85,350,0.85,1000,330,0,50,0,27225,0,15028.2,1176.12,130.68,0.9,1066
67,0,,Urban Podium Multi-Family,Low-Rise Residential (AC Low Rise Res/MU),,0.06,1.94,0,0,0,0.97,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.1,43560,5,3,0.85,1184,0.85,538,0.85,350,0.85,1000,330,0,109,0,26136,0,2178,13721.4,1524.6,0.9,1167
68,0,,Urban Podium Multi-Family,Low-Rise Residential (Alameda MF with Ret),"Alameda, CA",0.06,2.25,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,43560,5,2,0.85,1400,0.85,500,0.85,350,0.85,1000,330,0,57,0,17424,0,4356,21780,0,1,1168
69,0,,Urban Podium Multi-Family,Low-Rise Residential (SACOG Intense Urban Res),"Sacramento, CA",0.06,2.25,0,0,0,0.95,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,43560,6,4,0.85,765,0.85,250,0.85,350,0.85,1000,330,0,151,0,29040,0,3630,10890,0,1,1169
70,0,,Urban Podium Multi-Family,Low-Rise Residential (SCAG Apt/Condo Hi),,0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,43560,4,3,0.85,1000,0.85,750,0.85,350,0.85,1000,330,0,133,0,32670,0,2178,7840.8,871.2,0.9,1170
72,0,,Urban Podium Multi-Family,Low-Rise Residential (1),25-35 Dolores Ave San Francisco,0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,4,2.7,0.85,930,0.85,450,0.85,350,0.85,1000,330,0,89,0,29403,0,1089,11761.2,1306.8,0.9,1172
73,0,,Urban Podium Multi-Family,Low-Rise Residential (Ironhorse Family Apartments),"Oakland, CA",0.06,1.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43560,4,1.8,0.85,1010,0.85,500,0.85,350,0.85,1000,330,0,76,0,19602,0,2178,21780,0,1,1173
74,0,,Urban Podium Multi-Family,Low-Rise Residential (MODA Lofts),"Stapleton Denver, CO",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,43560,4,2,0.85,940,0.85,500,0.85,350,0.85,1000,330,0,127,0,21780,0,20473.2,1176.12,130.68,0.9,1174
75,0,,Urban Podium Multi-Family,Low-Rise Residential (Darling Florist Bldg),"Berkeley, CA",0.06,1.64,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,5,4,0.85,750,0.85,500,0.85,350,0.85,1000,330,0,240,0,34848,0,3484.8,5227.2,0,1,1175
80,0,,Standard Podium Multi-Family,Low-Rise Residential (Avalon Apts),"San Jose, CA",0.06,1.84,0,0,0,0.92,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.55,43560,4,2,0.85,1150,0.85,500,0.85,350,0.85,1000,330,0,74,0,21780,0,4356,15681.6,1742.4,0.9,1280
82,0,,Standard Podium Multi-Family,Low-Rise Residential (Ironhorse Family Apartments - 1) ,"Oakland, CA",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,4,1.7,0.85,1010,0.85,475,0.85,350,0.85,1000,330,0,79,0,18513,0,9801,13721.4,1524.6,0.9,1282
